company_or_country,year,foundry_revenue_share_pct,advanced_node_share_pct,category,source_id
TSMC,2024,64.9,90,Company,TrendForce-Q4-2024
Samsung Foundry,2024,9.3,8,Company,TrendForce-Q4-2024
GlobalFoundries,2024,5.5,0,Company,TrendForce-Q4-2024
UMC,2024,5.1,0,Company,TrendForce-Q4-2024
SMIC,2024,6.2,2,Company,TrendForce-Q4-2024
HuaHong Group,2024,2.8,0,Company,TrendForce-Q4-2024
Tower Semiconductor,2024,1.5,0,Company,TrendForce-Q4-2024
PSMC,2024,0.8,0,Company,TrendForce-Q4-2024
Others,2024,3.9,0,Company,TrendForce-Q4-2024
Taiwan,2024,68.0,92,Country,SIA-factbook-2024
South Korea,2024,11.0,8,Country,SIA-factbook-2024
China,2024,9.0,2,Country,SIA-factbook-2024
United States,2024,6.0,0,Country,SIA-factbook-2024
Europe,2024,2.0,0,Country,SIA-factbook-2024
Japan,2024,2.0,0,Country,SIA-factbook-2024
Rest of World,2024,2.0,0,Country,SIA-factbook-2024
TSMC,2023,61.2,90,Company,TrendForce-Q4-2023
Samsung Foundry,2023,11.3,10,Company,TrendForce-Q4-2023
GlobalFoundries,2023,6.2,0,Company,TrendForce-Q4-2023
UMC,2023,5.8,0,Company,TrendForce-Q4-2023
SMIC,2023,5.7,0,Company,TrendForce-Q4-2023
TSMC,2022,58.5,90,Company,TrendForce-Q4-2022
Samsung Foundry,2022,15.8,10,Company,TrendForce-Q4-2022
TSMC,2021,52.9,92,Company,TrendForce-Q4-2021
Samsung Foundry,2021,18.3,8,Company,TrendForce-Q4-2021
