date,event,category,significance,source_id,notes
1987-02-21,TSMC founded by Morris Chang in Hsinchu Science Park,TSMC founding,high,TSMC-annual-report-1987,"World's first dedicated semiconductor foundry; initial capital TWD 5.5 billion; Philips 27.5% stake"
1994-09-01,TSMC IPO on Taiwan Stock Exchange,TSMC corporate,high,TWSE-listing-1994,"TSMC listed on TWSE; later ADR on NYSE in 1997"
1995-10-01,UMC establishes pure-play foundry model,Industry structure,medium,UMC-corporate-1995,"UMC restructured as pure-play foundry; became TSMC's primary competitor in Taiwan"
2000-01-01,TSMC reaches 180nm process node mass production,Process node,medium,TSMC-tech-2000,"First advanced node; enabled early mobile and computing chips"
2002-01-01,TSMC begins 130nm process production,Process node,medium,TSMC-tech-2002,"Copper interconnect technology adopted for improved performance"
2004-01-01,TSMC begins 90nm process production,Process node,medium,TSMC-tech-2004,"Strained silicon technology introduction"
2005-01-01,TSMC begins 65nm process production,Process node,medium,TSMC-tech-2005,"Immersion lithography adopted; major capacity expansion in Tainan"
2007-01-01,TSMC begins 45nm process production,Process node,medium,TSMC-tech-2007,"Low-k dielectric and immersion lithography refinement"
2009-01-01,TSMC begins 40nm process production,Process node,medium,TSMC-tech-2009,"Major smartphone chip node; Apple relationship deepens"
2011-01-01,TSMC begins 28nm process production,Process node,high,TSMC-tech-2011,"Hugely successful node; longest-running profitable node in foundry history; HKMG technology"
2013-01-01,TSMC begins 20nm process production,Process node,medium,TSMC-tech-2013,"Transition node with limited adoption; bridge to FinFET"
2014-04-01,ASML ships first production EUV lithography system (NXE:3300B),EUV lithography,high,ASML-annual-report-2014,"First commercially available EUV scanner; years behind schedule but transformative technology"
2015-01-01,TSMC begins 16nm FinFET process production,Process node,high,TSMC-tech-2015,"First FinFET node; won Apple A9 chip orders over Samsung"
2016-01-01,TSMC begins 10nm process production,Process node,high,TSMC-tech-2016,"Enabled Apple A11 Bionic; TSMC surpasses Intel in transistor density"
2017-01-01,Samsung announces foundry division independence,Industry structure,medium,Samsung-foundry-2017,"Samsung Foundry established as independent business unit to compete with TSMC"
2018-04-01,TSMC begins 7nm process mass production,Process node,high,TSMC-tech-2018,"First EUV-capable node (7nm+ used EUV); Apple A12 and AMD Zen 2 key customers"
2019-10-01,TSMC begins 7nm EUV (N7+) process production,Process node,high,TSMC-tech-2019,"First process using EUV lithography in volume production at TSMC"
2020-05-15,TSMC announces Arizona fab construction (Fab 21),Fab construction,high,TSMC-press-2020,"$12 billion initial investment for 5nm fab in Phoenix; later expanded significantly"
2020-07-01,TSMC begins 5nm process mass production,Process node,high,TSMC-tech-2020,"Apple A14 Bionic first customer; 1.8x logic density improvement over 7nm"
2020-09-15,US Commerce Dept Huawei chip ban takes full effect,Export controls,high,US-Commerce-EAR-2020,"Banned TSMC and all foundries using US equipment from supplying Huawei; massive geopolitical impact"
2021-04-01,Global chip shortage reaches peak intensity,Supply chain,high,SIA-report-2021,"Auto industry and consumer electronics severely impacted; highlighted TSMC strategic importance"
2021-10-14,TSMC announces Kumamoto Japan fab (JASM),Fab construction,high,TSMC-press-2021,"Joint venture with Sony and Denso; 22/28nm and 12/16nm capacity; $8.6 billion investment"
2022-06-24,TSMC begins 3nm (N3) mass production,Process node,high,TSMC-tech-2022,"Apple M2 Pro/Max and A17 Pro first customers; GAA-like FinFlex architecture"
2022-08-09,US CHIPS and Science Act signed into law,Legislation,high,US-Public-Law-117-167,"$52.7 billion for semiconductor manufacturing and R&D; $39 billion in manufacturing incentives"
2022-12-06,TSMC Arizona first tool-in ceremony with President Biden,Fab construction,high,TSMC-press-2022,"TSMC expanded Arizona commitment to $40 billion for two fabs (4nm and 3nm)"
