date,event,category,significance,source_id,notes
1954-09-03,PLA begins shelling Kinmen (Quemoy) islands,First Taiwan Strait Crisis,high,DOD-history-1954,"Opening bombardment of First Taiwan Strait Crisis; PLA shelled Kinmen and nearby islands"
1954-11-01,PLA bombs Yijiangshan Islands,First Taiwan Strait Crisis,high,DOD-history-1954,"Aerial bombing campaign against Nationalist-held Dachen and Yijiangshan islands"
1955-01-18,PLA captures Yijiangshan Islands,First Taiwan Strait Crisis,high,DOD-history-1955,"First amphibious assault; ROC garrison overwhelmed; 720 defenders killed or captured"
1955-01-29,US Congress passes Formosa Resolution,First Taiwan Strait Crisis,high,US-Congress-HJ159,"Authorized President Eisenhower to defend Taiwan and Penghu; implied defense of offshore islands"
1955-02-08,ROC evacuates Dachen Islands (Operation Jingang),First Taiwan Strait Crisis,medium,DOD-history-1955,"US 7th Fleet assisted evacuation of 28000 civilians and military from Dachen Islands"
1955-05-01,Ceasefire ends First Taiwan Strait Crisis,First Taiwan Strait Crisis,high,DOD-history-1955,"PLA ceases shelling; crisis de-escalates after US nuclear threats and diplomatic pressure"
1958-08-23,PLA begins massive bombardment of Kinmen (823 Artillery Bombardment),Second Taiwan Strait Crisis,high,DOD-history-1958,"44000 shells fired on first day; approximately 474000 shells over 44 days targeting Kinmen"
1958-09-04,US Secretary Dulles issues Newport Declaration,Second Taiwan Strait Crisis,high,State-Dept-1958,"Declared US would not retreat from defending offshore islands; signaled nuclear deterrence"
1958-09-07,US Navy escorts ROC supply convoys to Kinmen,Second Taiwan Strait Crisis,high,USN-7thFleet-1958,"US 7th Fleet provided escort for resupply convoys; demonstrated commitment to defense"
1958-10-06,PLA announces ceasefire on even-numbered days,Second Taiwan Strait Crisis,medium,PRC-MOD-1958,"Bizarre alternate-day shelling pattern; de facto end of active crisis phase"
1958-10-25,Second Taiwan Strait Crisis effectively ends,Second Taiwan Strait Crisis,high,DOD-history-1958,"PLA shifts to symbolic odd-day shelling only; continued sporadically until 1979"
1995-07-21,PLA conducts first missile tests near Taiwan,Third Taiwan Strait Crisis,high,DOD-report-1996,"DF-15 missiles fired into waters 150km north of Taiwan in response to President Lee Teng-hui US visit"
1995-08-15,PLA conducts second round of missile exercises,Third Taiwan Strait Crisis,high,DOD-report-1996,"Additional missile tests and live-fire naval exercises in Taiwan Strait"
1996-03-08,PLA launches missiles bracketing Taiwan (M-9/DF-15),Third Taiwan Strait Crisis,high,DOD-report-1996,"Three DF-15 missiles landed in target zones near Keelung and Kaohsiung ports; major escalation"
1996-03-08,PLA begins large-scale military exercises (Exercise Strait 961),Third Taiwan Strait Crisis,high,PLA-announcement-1996,"Combined arms exercises simulating amphibious invasion; 150000 troops involved"
1996-03-10,US deploys USS Nimitz and USS Independence carrier groups,Third Taiwan Strait Crisis,high,USN-PACOM-1996,"Largest US naval deployment in Asia since Vietnam War; two carrier battle groups transited Taiwan Strait"
1996-03-25,Third Taiwan Strait Crisis de-escalates,Third Taiwan Strait Crisis,high,DOD-report-1996,"PLA exercises conclude; Lee Teng-hui wins presidential election on March 23"
2007-01-11,PRC tests anti-satellite weapon (ASAT),Cross-strait security,medium,DOD-China-Military-Power-2007,"SC-19 missile destroyed Fengyun-1C satellite at 865km altitude; demonstrated space warfare capability"
2013-11-23,PRC declares East China Sea ADIZ,Cross-strait security,medium,PRC-MOD-2013,"Unilateral Air Defense Identification Zone over Senkaku/Diaoyu area; raised regional tensions"
2019-03-31,PLA J-11 fighters cross Taiwan Strait median line,ADIZ incursion,high,Taiwan-MND-2019,"First deliberate crossing of informal median line by PLA fighters since 1999"
2020-09-18,PLA aircraft conduct large-scale ADIZ incursion (18 aircraft),ADIZ incursion,high,Taiwan-MND-2020,"Record incursion at the time; included H-6 bombers with escort fighters"
2021-10-01,PLA record 38 aircraft enter Taiwan ADIZ in single day,ADIZ incursion,high,Taiwan-MND-2021,"PRC National Day provocation; largest single-day incursion recorded at that time"
2021-10-04,PLA 56 aircraft enter Taiwan ADIZ (new record),ADIZ incursion,high,Taiwan-MND-2021,"Four-day surge totaling 149 sorties; included nuclear-capable H-6 bombers and J-16 fighters"
2022-08-02,US Speaker Nancy Pelosi visits Taiwan,Fourth Taiwan Strait Crisis,high,US-Congress-2022,"Highest-ranking US official to visit Taiwan since Speaker Gingrich in 1997"
2022-08-04,PLA launches unprecedented military exercises around Taiwan,Fourth Taiwan Strait Crisis,high,PLA-Eastern-Theater-2022,"Live-fire exercises in six zones surrounding Taiwan; five DF-15 ballistic missiles overflew Taiwan"
2022-08-04,PLA ballistic missiles fly over Taiwan for first time,Fourth Taiwan Strait Crisis,high,Japan-MOD-2022,"Japan MOD confirmed five missiles landed in Japan EEZ; first missiles to overfly Taiwan island"
2022-08-07,PLA extends military exercises beyond original schedule,Fourth Taiwan Strait Crisis,high,PLA-Eastern-Theater-2022,"Exercises extended without announced end date; simulated sea and air blockade operations"
2022-08-10,PLA concludes major exercises but announces regular patrols,Fourth Taiwan Strait Crisis,high,PLA-Eastern-Theater-2022,"PLA declared exercises concluded but announced routine patrols would continue near median line"
2022-12-25,PLA sends 71 aircraft and 7 naval vessels near Taiwan (record),ADIZ incursion,high,Taiwan-MND-2022,"Largest single-day military activity; response to US defense spending bill including Taiwan provisions"
2023-04-08,PLA launches Joint Sword exercise around Taiwan,Joint Sword exercises,high,PLA-Eastern-Theater-2023,"Three-day exercise simulating encirclement; response to President Tsai Ing-wen meeting with US Speaker McCarthy"
2023-04-10,Joint Sword exercise concludes,Joint Sword exercises,high,PLA-Eastern-Theater-2023,"Exercise included simulated precision strikes and blockade operations from multiple directions"
2023-09-17,PLA deploys record 103 military aircraft near Taiwan,ADIZ incursion,high,Taiwan-MND-2023,"Largest single-detection of PLA aircraft; included fighters and bombers crossing median line"
2024-05-23,PLA launches Joint Sword-2024A exercises,Joint Sword exercises,high,PLA-Eastern-Theater-2024,"Two-day exercise surrounding Taiwan following President Lai Ching-te inauguration on May 20"
2024-05-24,Joint Sword-2024A exercises conclude,Joint Sword exercises,high,PLA-Eastern-Theater-2024,"Exercises simulated joint seizure of battlefield control; practiced blockade of key ports and areas"
2024-10-14,PLA launches Joint Sword-2024B exercises,Joint Sword exercises,high,PLA-Eastern-Theater-2024,"One-day large-scale exercise surrounding Taiwan; response to President Lai National Day speech"
