date,event,category,significance,source_id,notes
2017-08-15,Nationwide blackout affecting 6.68 million households,Power outage,high,Taipower-incident-2017,"Accidental gas supply interruption at Tatan Power Plant; CPC worker error cut natural gas to plant causing 4GW loss"
2019-06-27,FORMOSAT-7/COSMIC-2 launched on SpaceX Falcon Heavy,Satellite launch,high,NSPO-press-2019,"Six satellite constellation for weather observation; joint Taiwan-US program; improved tropical weather forecasting"
2020-03-01,Taiwan drought begins affecting semiconductor production,Drought,high,WRA-Taiwan-2020,"Worst drought in 56 years; TSMC and other fabs faced water rationing; emergency measures deployed"
2021-01-01,Drought intensifies across central and southern Taiwan,Drought,high,WRA-Taiwan-2021,"Reservoirs dropped below 20% capacity; Hsinchu Science Park implemented water recycling at 85%+ rate"
2021-05-13,Major power outage affecting 4 million households,Power outage,high,Taipower-incident-2021,"Xingda Power Plant and Lushan Hydro units tripped; rolling blackouts in central and southern Taiwan"
2021-05-17,Second major power outage in same week,Power outage,high,Taipower-incident-2021,"Separate incident from May 13; underscored fragility of Taiwan power grid; 2 million households affected"
2021-06-01,Taiwan water rationing affects Hsinchu Science Park,Drought,high,MOEA-2021,"TSMC trucked in water and drilled wells to maintain fab operations; highlighted strategic vulnerability"
2021-08-27,Formosa 1 offshore wind farm fully operational (128MW),Offshore wind,medium,Formosa1-press-2021,"Taiwan's first commercial-scale offshore wind farm; joint venture Orsted JERA Swancor; 22 turbines"
2021-12-01,Yunlin offshore wind farm construction begins (640MW),Offshore wind,medium,wpd-press-2021,"Major offshore wind project; 80 turbines planned off Yunlin County coast"
2022-02-08,Matsu Islands undersea cables cut by Chinese sand dredger,Submarine cable,high,Chunghwa-Telecom-2022,"Two cables connecting Matsu to Taiwan severed; 14000 residents left with limited connectivity"
2022-03-03,Major power outage affecting 5.49 million households,Power outage,high,Taipower-incident-2022,"Human error at Xingda Power Plant caused south Taiwan blackout; TSMC fabs briefly disrupted"
2022-04-01,Matsu Islands second cable damage incident,Submarine cable,high,Chunghwa-Telecom-2022,"Additional cable damaged while repairs ongoing; Matsu relied on microwave backup for months"
2022-06-01,Greater Changhua offshore wind farms begin installation,Offshore wind,medium,Orsted-press-2022,"Orsted-led 900MW project; one of largest offshore wind developments in Asia-Pacific"
2022-10-01,Taipei LNG receiving terminal expansion project approved,LNG infrastructure,medium,CPC-Taiwan-2022,"Third LNG terminal (Guantang) approved after controversial referendum; critical for energy transition"
2023-02-02,Matsu submarine cables finally repaired after 11-month outage,Submarine cable,high,Chunghwa-Telecom-2023,"Repairs delayed by weather and vessel availability; exposed vulnerability of island communications"
2023-04-01,Formosa 2 offshore wind farm fully operational (376MW),Offshore wind,medium,Formosa2-press-2023,"47 Siemens Gamesa 8MW turbines off Miaoli coast; JERA and Macquarie investment"
2023-06-01,Greater Changhua 1 offshore wind farm operational (605MW),Offshore wind,high,Orsted-press-2023,"Largest single offshore wind farm in Taiwan; significant milestone for energy transition targets"
2023-09-01,FORMOSAT-8 remote sensing satellite program progresses,Satellite launch,medium,NSPO-press-2023,"Earth observation satellite constellation for disaster monitoring; indigenous development by TASA"
2023-10-15,Taoyuan Algal Reef LNG Terminal (Third LNG Terminal) construction advances,LNG infrastructure,medium,CPC-Taiwan-2023,"Controversial Guantang terminal; reconfigured to reduce environmental impact after 2021 referendum"
2024-01-01,Taiwan targets 5.6 GW offshore wind capacity by 2025,Offshore wind,medium,MOEA-BOE-2024,"Part of energy transition plan; cumulative installed expected to reach 2+ GW by end 2024"
2024-02-15,Submarine cable protection zone legislation proposed,Submarine cable,medium,Taiwan-NCC-2024,"Response to Matsu cable incidents; expanded protected zones and increased penalties for damage"
2024-03-01,Changhua-Yunlin subsea cable route survey completed,Submarine cable,medium,Taiwan-NCC-2024,"New resilient cable routing to reduce single-point-of-failure risks for western coast communications"
2024-05-01,Zhongneng offshore wind farm construction begins (300MW),Offshore wind,medium,CIP-press-2024,"Copenhagen Infrastructure Partners project off Changhua; scheduled completion 2025"
2024-06-01,Xinda Power Plant new gas units commissioned,LNG infrastructure,medium,Taipower-2024,"Additional gas-fired capacity to replace retiring coal units; part of coal phase-down plan"
2024-07-25,Typhoon Gaemi causes widespread infrastructure damage,Natural disaster,medium,CWA-Taiwan-2024,"Significant damage to power infrastructure; flooding in southern Taiwan; temporary fab disruptions"
2024-09-01,Taiwan AI data center power demand surge strains grid,Power grid,medium,Taipower-2024,"Rapid AI infrastructure build-out creating new electricity demand challenges; 2-3 GW additional demand projected"
2024-11-01,Yongan LNG terminal expansion operational,LNG infrastructure,medium,CPC-Taiwan-2024,"Increased LNG receiving capacity to improve storage days from approximately 11 to 14 days"
2025-01-03,Submarine cable near Keelung damaged by Chinese-flagged vessel,Submarine cable,high,NCC-Taiwan-2025,"Trans-Pacific Express cable and another cable damaged off northern Taiwan; Chinese cargo ship suspected"
2025-02-01,TASA launches FORMOSAT-8 first satellite,Satellite launch,medium,TASA-press-2025,"Taiwan-developed Earth observation satellite; 2m resolution; indigenous space capability milestone"
